| Country         | Region/Specific Location | Tax Credit / Incentive Program Name                                  | Incentive Percentage/Details                                                                                                                               | Minimum Spend Requirement                                                                    | Eligible Production Types                                                                                                | Application Process/Ease (Subjective) | Notes/Script Suitability                                                                                                                               | Last Updated (YYYY-MM-DD) |
|-----------------|--------------------------|----------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------|---------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------|---------------------------|
| **Abu Dhabi (UAE)** | Abu Dhabi                | Production Incentive                                                 | Up to 50% cash rebate of qualified production spend. [1]                                                                                                        | Specifics not detailed in snippet, research further.                                          | Film and television productions. [1]                                                                                      | Moderate (Assumed)                    | Desert, Modern Cityscapes, Luxury, Coastal                                                                                             | 2025-03-03                |
| **Australia**   | National                 | Location Offset                                                      | 30% rebate for large-budget film and TV projects shot in Australia (for productions starting principal photography on or after 1 July 2023). [9, 18]        | A$15 million for film, A$1 million (avg) per hour for TV series. [4, 9]                      | Large-budget film and television. [9, 18]                                                                                | Moderate                              | Diverse landscapes (Outback, Beaches, Forests, Urban), Modern Cities, Unique Wildlife. [5, 18]                                        | 2025-01-22                |
| **Australia**   | National                 | Producer Offset                                                      | 40% rebate for eligible feature films, 30% for other eligible formats with significant Australian content. [9, 18]                                             | Not specified, tied to "significant Australian content." [18]                                | Feature films, other formats with significant Australian content. [9, 18]                                                  | Moderate                              | Productions with Australian cultural elements and talent. [18]                                                                          | 2025-01-22                |
| **Australia**   | National                 | Post, Digital and Visual Effects (PDV) Offset                          | 30% rebate for PDV work in Australia, regardless of where shot. [9, 18]                                                                                       | A$500,000. [4, 9]                                                                             | Post-production, digital and visual effects. [9, 18]                                                                       | Moderate                              | Access to high-quality VFX and post-production houses.                                                                                   | 2025-01-22                |
| **Australia**   | New South Wales (NSW)    | Made in NSW Fund                                                     | Discretionary, up to AU$175 million fund over five years (2020-2025). Can be combined with federal offsets. [29]                                               | Case-by-case. [29]                                                                           | Feature films, telemovies, animation, mini-series, TV drama (footloose productions). [29]                                  | Competitive                           | Sydney (Urban, Coastal), Diverse regional NSW landscapes. [29]                                                                       | Referenced for 2020-2025  |
| **Australia**   | New South Wales (NSW)    | NSW PDV Rebate                                                       | 10% rebate on qualifying NSW PDV expenditure. Can be combined with federal offsets. [29]                                                                      | AU$500,000 on PDV in NSW. [29]                                                               | Post-production, digital and visual effects. [29]                                                                          | Competitive                           | Sydney as a major PDV hub. [29]                                                                                                         | Referenced for 2020-2025  |
| **Australia**   | Queensland               | Production Attraction Incentive                                      | Discretionary. [29]                                                                                                                                          | AU$3.5 million minimum spend in Queensland. [29]                                             | Film and TV.                                                                                                             | Competitive                           | Gold Coast (Beaches, Theme Parks), Tropical North Queensland (Rainforests, Reef), Outback.                                             | General Reference         |
| **Australia**   | Victoria                 | PDV Offset (State)                                                   | Discretionary. Can be combined with federal PDV offset. [29]                                                                                                  | AU$500,000 spend on qualifying PDV in Victoria. [29]                                         | Post-production, digital and visual effects. [29]                                                                          | Competitive                           | Melbourne (Urban, Arts Scene), Diverse regional Victoria.                                                                              | General Reference         |
| **Austria**     | National                 | FISAplus Grant                                                       | 20% grant of production expenses, up to 25% for service productions. Project cap €1.1 Million. [4]                                                            | Not specified.                                                                               | Austrian productions, Austrian-international co-productions, service productions. [4]                                  | Moderate                              | Mountain scenery (Alps), Historic cities (Vienna, Salzburg), Lakes, Forests. [5]                                                         | Prior to 2025-01-14       |
| **Canada**      | National/Provincial      | Various (e.g., CPTC, PSTC, DAVE in British Columbia)                 | BC: CPTC to 36%, PSTC to 36% (from Jan 1, 2025), potential DAVE increase. Other provinces have own rates. [23]                                                | Varies by province and program. BC: Uplift for productions spending $200M+. [23]             | Film, TV, Animation, VFX. [23, 28]                                                                                         | Varies by province, generally well-established | Diverse (Mountains, Forests, Urban - Vancouver/Toronto often stand in for US cities, Prairies, Arctic). [5, 28]                           | 2024-12-20                |
| **Colombia**    | National                 | Fondo Fílmico Colombia (FFC) - Cash Rebate                           | 40% on audiovisual services, 20% on logistics (food, hotel, transport) hired through Colombian companies. [2, 17, 19]                                       | Not specified, project-based. Max rebate ~US$800,777 per project. [19]                         | Films, series, music videos, animation (production & post-production if production previously benefited). [2, 17, 19, 24, 31] | Moderate to Streamlined           | Bogotá (Urban, Historic), Cartagena (Colonial, Coastal), Medellín, Diverse natural landscapes (Andes, Amazon, Coast). [24]            | 2025-05-02                |
